Name,Href,Age,Country,Languages,ELO,Games Played,Game Wins
Jewdoka,https://boardgamearena.com/player?id=83978842,115,United States,['English'],956,3695,2882
csigeee,https://boardgamearena.com/player?id=85012449,31,Czech Republic,"['čeština', ' Deutsch', ' English', ' Magyar', ' Slovenčina']",905,589,483
Iongler,https://boardgamearena.com/player?id=85015219,?,Romania,['English'],826,1411,958
Loizz,https://boardgamearena.com/player?id=84462839,?,Brazil,"['English', ' Português']",813,485,381
frankenstein79,https://boardgamearena.com/player?id=84511390,?,United States,['English'],784,2213,1484
Benja,https://boardgamearena.com/player?id=85411198,?,Spain,"['English', ' Español']",758,1590,1449
KES777,https://boardgamearena.com/player?id=85108471,?,Ukraine,"['English', ' Русский язык', ' Українська мова']",752,1003,685
VoteFreely,https://boardgamearena.com/player?id=88459767,?,United States,['English'],751,1103,1020
aenorman43,https://boardgamearena.com/player?id=84629747,?,United States,['English'],739,1029,508
TheSwarm,https://boardgamearena.com/player?id=89871465,?,Thailand,['English'],731,735,684
Marko60,https://boardgamearena.com/player?id=84993573,?,France,"['English', ' Español', ' Français']",670,1613,944
Sphinx,https://boardgamearena.com/player?id=85192726,24,Poland,"['English', ' Polski']",668,842,651
InDusDusDus,https://boardgamearena.com/player?id=89955608,?,Hungary,['Magyar'],665,364,189
pcapella,https://boardgamearena.com/player?id=84443797,?,Spain,"['Català', ' English', ' Español']",661,367,224
Saltlick,https://boardgamearena.com/player?id=84612020,?,United States,[''],656,6153,4796
bitsofgreg,https://boardgamearena.com/player?id=84043483,37,United States,['English'],648,785,476
ringersoll,https://boardgamearena.com/player?id=36034345,68,United States,['English'],647,3038,2664
Alex_Caux,https://boardgamearena.com/player?id=87163096,?,Canada,['Français'],637,362,327
Radek0,https://boardgamearena.com/player?id=84197372,?,Poland,"['English', ' Polski']",634,1242,577
DJTGV,https://boardgamearena.com/player?id=85124313,?,Canada,['English'],634,832,656
Frasco,https://boardgamearena.com/player?id=84298660,29,Italy,"['English', ' Italiano']",629,1997,1059
Kunkasaurus,https://boardgamearena.com/player?id=84776619,29,United States,['English'],629,1086,657
ted the notty bear,https://boardgamearena.com/player?id=84678716,?,United Kingdom,['English'],620,286,200
kpeev3,https://boardgamearena.com/player?id=90693692,?,United States,['English'],612,448,270
stepanzo,https://boardgamearena.com/player?id=37496124,?,Russian Federation,"['Русский язык', ' English']",612,1474,917
ewona,https://boardgamearena.com/player?id=86832907,?,Poland,['Polski'],607,765,596
fabalf,https://boardgamearena.com/player?id=33022523,?,Germany,"['Deutsch', ' English']",607,289,234
elfiss,https://boardgamearena.com/player?id=87767867,?,Poland,['Polski'],603,1390,1096
Drikke,https://boardgamearena.com/player?id=88523833,40,Belgium,"['English', ' Français', ' Nederlands']",594,339,213
apolloq,https://boardgamearena.com/player?id=85003905,45,United States,['English'],591,1691,1017
